psLayout version 3
Generated by biokanga blitz, Version 4.4.2
match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
303	45	0	0	2	26	1	11	-	jgi|Puctr1|3|PTTG_04086T0	420	0	374	tig00000952	415305	217336	217695	3	143,132,73,	46,214,347,	217336,217490,217622,
302	46	0	0	2	26	1	11	-	jgi|Puctr1|3|PTTG_04086T0	420	0	374	tig00000286	7468728	3962993	3963352	3	143,132,73,	46,214,347,	3962993,3963147,3963279,
297	68	0	0	0	0	0	0	+	jgi|Puctr1|3|PTTG_04086T0	420	0	365	tig00000286	7468728	6215069	6215434	1	365,	0,	6215069,
293	60	0	0	1	15	2	2293	+	jgi|Puctr1|3|PTTG_04086T0	420	0	368	tig00001411	706667	556923	559569	3	31,104,218,	0,31,150,	556923,559241,559351,
268	61	0	0	1	39	1	9	+	jgi|Puctr1|3|PTTG_04086T0	420	0	368	tig00000286	7468728	3463841	3464179	2	133,196,	0,172,	3463841,3463983,
268	61	0	0	1	39	1	9	-	jgi|Puctr1|3|PTTG_04086T0	420	0	368	tig00000332	369748	300358	300696	2	196,133,	52,287,	300358,300563,
232	39	0	0	1	22	1	13	+	jgi|Puctr1|3|PTTG_04086T0	420	0	293	tig00000077	2168510	2076976	2077260	2	137,134,	0,159,	2076976,2077126,
388	72	0	0	1	52	1	49	-	jgi|Puctr1|7|PTTG_25076T0	654	119	631	tig00000339	901215	785572	786081	2	420,40,	23,495,	785572,786041,
353	67	0	0	0	0	0	0	-	jgi|Puctr1|7|PTTG_25076T0	654	211	631	tig00000286	7468728	265545	265965	1	420,	23,	265545,
353	67	0	0	0	0	0	0	+	jgi|Puctr1|7|PTTG_25076T0	654	211	631	tig00000318	419885	212153	212573	1	420,	211,	212153,
349	71	0	0	0	0	0	0	-	jgi|Puctr1|7|PTTG_25076T0	654	211	631	tig00000286	7468728	1670217	1670637	1	420,	23,	1670217,
303	50	0	0	2	93	2	87	-	jgi|Puctr1|7|PTTG_25076T0	654	0	446	tig00000286	7468728	4973973	4974413	3	235,40,78,	208,495,576,	4973973,4974257,4974335,
248	42	0	0	1	37	1	34	+	jgi|Puctr1|7|PTTG_25076T0	654	119	446	tig00001116	1326013	1047597	1047921	2	40,250,	119,196,	1047597,1047671,
329	12	0	0	0	0	2	4168	-	jgi|Puctr1|11|PTTG_25079T0	807	36	377	tig00000001	9321276	4064171	4068680	3	73,58,210,	430,503,561,	4064171,4068317,4068470,
329	12	0	0	0	0	2	4168	+	jgi|Puctr1|11|PTTG_25079T0	807	36	377	tig00000091	1204694	736785	741294	3	211,58,72,	36,247,305,	736785,737091,741222,
305	17	0	0	0	0	4	4083	-	jgi|Puctr1|11|PTTG_25079T0	807	173	495	tig00000001	9321276	3633561	3637966	5	49,65,77,58,73,	312,361,426,503,561,	3633561,3633684,3633826,3637740,3637893,
260	14	0	0	0	0	3	4009	+	jgi|Puctr1|11|PTTG_25079T0	807	173	447	tig00000091	1204694	1185070	1189353	4	74,58,77,65,	173,247,305,382,	1185070,1185239,1189134,1189288,
377	21	0	0	1	1	1	65	+	jgi|Puctr1|13|PTTG_25081T0	447	0	399	tig00000001	9321276	8716450	8716913	3	108,240,50,	0,108,349,	8716450,8716623,8716863,
372	27	0	0	0	0	1	65	+	jgi|Puctr1|13|PTTG_25081T0	447	0	399	tig00000098	855467	324604	325068	2	108,291,	0,108,	324604,324777,
502	17	0	0	2	7	5	211	-	jgi|Puctr1|16|PTTG_01488T0	588	46	572	tig00000286	7468728	1082725	1083455	6	274,67,53,31,49,45,	16,290,362,417,448,497,	1082725,1083123,1083237,1083293,1083325,1083410,
500	17	0	0	3	9	5	211	-	jgi|Puctr1|16|PTTG_01488T0	588	46	572	tig00000339	901215	276412	277140	7	134,138,67,53,31,49,45,	16,152,290,362,417,448,497,	276412,276546,276808,276922,276978,277010,277095,
464	148	0	0	0	0	0	0	-	jgi|Puctr1|14|PTTG_25082T0	1484	399	1011	tig00000286	7468728	3740749	3741361	1	612,	473,	3740749,
463	149	0	0	0	0	0	0	+	jgi|Puctr1|14|PTTG_25082T0	1484	399	1011	tig00000332	369748	24205	24817	1	612,	399,	24205,
231	22	0	0	0	0	0	0	+	jgi|Puctr1|19|PTTG_01483T0	399	146	399	tig00000287	3663278	1244315	1244568	1	253,	146,	1244315,
231	22	0	0	0	0	0	0	+	jgi|Puctr1|19|PTTG_01483T0	399	146	399	tig00000636	513739	159338	159591	1	253,	146,	159338,
218	14	0	0	1	18	0	0	+	jgi|Puctr1|19|PTTG_01483T0	399	146	396	tig00000287	3663278	1270356	1270588	2	97,135,	146,261,	1270356,1270453,
218	14	0	0	1	18	0	0	+	jgi|Puctr1|19|PTTG_01483T0	399	146	396	tig00000636	513739	185383	185615	2	97,135,	146,261,	185383,185480,
1102	302	0	0	1	575	1	725	-	jgi|Puctr1|30|PTTG_25087T0	1980	0	1979	tig00000287	3663278	1303820	1305949	2	110,1294,	1,686,	1303820,1304655,
1101	303	0	0	1	575	1	725	-	jgi|Puctr1|30|PTTG_25087T0	1980	0	1979	tig00000636	513739	218846	220975	2	110,1294,	1,686,	218846,219681,
1100	304	0	0	1	575	1	725	-	jgi|Puctr1|30|PTTG_25087T0	1980	0	1979	tig00000077	2168510	976879	979008	2	110,1294,	1,686,	976879,977714,
1100	304	0	0	1	575	1	725	+	jgi|Puctr1|30|PTTG_25087T0	1980	0	1979	tig00000699	4697996	1990196	1992325	2	1294,110,	0,1869,	1990196,1992215,
992	289	0	0	0	0	0	0	+	jgi|Puctr1|30|PTTG_25087T0	1980	42	1323	tig00000606	1910973	719750	721031	1	1281,	42,	719750,
750	231	0	0	0	0	0	0	+	jgi|Puctr1|30|PTTG_25087T0	1980	30	1011	tig00000001	9321276	5830534	5831515	1	981,	30,	5830534,
747	234	0	0	0	0	0	0	-	jgi|Puctr1|30|PTTG_25087T0	1980	30	1011	tig00000059	913552	370703	371684	1	981,	969,	370703,
605	165	0	0	0	0	0	0	-	jgi|Puctr1|30|PTTG_25087T0	1980	42	812	tig00000641	1424325	1134140	1134910	1	770,	1168,	1134140,
482	108	0	0	2	31	2	172	+	jgi|Puctr1|30|PTTG_25087T0	1980	1359	1980	tig00000004	1085648	863794	864556	3	227,252,111,	1359,1601,1869,	863794,864117,864445,
481	109	0	0	2	31	2	172	-	jgi|Puctr1|30|PTTG_25087T0	1980	1359	1980	tig00000001	9321276	2537551	2538313	3	111,252,227,	0,127,394,	2537551,2537738,2538086,
278	77	0	0	1	17	1	267	-	jgi|Puctr1|39|PTTG_25091T0	872	500	872	tig00000729	587110	339927	340549	2	167,188,	0,184,	339927,340361,
277	78	0	0	1	17	1	267	-	jgi|Puctr1|39|PTTG_25091T0	872	500	872	tig00000699	4697996	4354735	4355357	2	167,188,	0,184,	4354735,4355169,
232	2	0	0	0	0	0	0	+	jgi|Puctr1|44|PTTG_25094T0	234	0	234	tig00000606	1910973	128160	128394	1	234,	0,	128160,
231	3	0	0	0	0	0	0	-	jgi|Puctr1|44|PTTG_25094T0	234	0	234	tig00000699	4697996	919215	919449	1	234,	0,	919215,
231	3	0	0	0	0	0	0	+	jgi|Puctr1|44|PTTG_25094T0	234	0	234	tig00001416	543866	374569	374803	1	234,	0,	374569,
