tig00000355	7686	47594	33.44	66.56
tig00000355	97768	170161	33.44	66.56
tig00000355	190087	518405	33.44	66.56
tig00000355	535249	802073	33.44	66.56
tig00000403	878206	1292871	37.65	62.35
tig00000403	1312712	1673905	37.65	62.35
tig00000403	1712013	1759902	37.65	62.35
tig00000403	1783891	1850210	37.65	62.35
tig00000403	1871941	2065795	37.65	62.35
tig00000403	2116860	2200863	37.65	62.35
tig00000403	2256411	2704252	37.65	62.35
tig00000405	2691390	2820716	0.0	100.0
tig00000399	2811038	2834211	81.53	18.47
tig00000406	2815726	2834211	0.0	0.0
tig00000399	2852283	3518628	81.53	18.47
tig00000956	3492943	3518628	0.0	0.0
tig00000957	3492943	3518628	0.0	0.0
tig00000399	3542287	4033740	81.53	18.47
tig00000964	4018978	4048337	0.0	0.0
tig00001450	4036980	4464822	96.23	3.77
tig00001076	4454145	5255388	81.5	18.5
tig00001076	5280040	5324405	81.5	18.5
tig00002747	5306911	5333720	0.0	0.0
tig00001316	5336761	5537559	86.22	13.78
tig00001316	5572453	5968562	86.22	13.78
tig00001316	6018731	6154952	86.22	13.78
tig00001323	6137105	6582141	95.55	4.45
tig00001337	6568058	6598726	0.0	0.0
tig00001348	6600243	6857179	80.08	19.92
tig00001348	6880708	6943015	80.08	19.92
tig00001348	6964312	7005418	80.08	19.92
tig00001348	7038671	7130148	80.08	19.92
tig00001348	7149873	7211901	80.08	19.92
